"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";
"ADCH";"Analog In 8-15";"PINHD-1X8";"1X08";"PIN HEADER";"";"";"";"";
"ADCL";"Analog In 0-7";"PINHD-1X8";"1X08";"PIN HEADER";"";"";"";"";
"C1";"0.1uF";"C-US025-025X050";"C025-025X050";"CAPACITOR, American symbol";"";"";"";"";
"C2";"0.1uF";"C-US025-025X050";"C025-025X050";"CAPACITOR, American symbol";"";"";"";"";
"C3";"1 uF";"C-US025-030X050";"C025-030X050";"CAPACITOR, American symbol";"";"";"";"";
"C4";"1 uF";"C-US025-030X050";"C025-030X050";"CAPACITOR, American symbol";"";"";"";"";
"C5";"1 uF";"C-US025-030X050";"C025-030X050";"CAPACITOR, American symbol";"";"";"";"";
"C6";"0.1uF";"C2.5/2";"C2.5-2";"CAPACITOR";"";"";"";"";
"C7";"0.1uF";"C2.5/2";"C2.5-2";"CAPACITOR";"";"";"";"";
"C8";"1 uF";"C-US025-030X050";"C025-030X050";"CAPACITOR, American symbol";"";"";"";"";
"C9";"1 uF";"C-US025-030X050";"C025-030X050";"CAPACITOR, American symbol";"";"";"";"";
"C10";"1 uF";"C-US025-030X050";"C025-030X050";"CAPACITOR, American symbol";"";"";"";"";
"COMM_DIG";"DIG 14-21";"PINHD-1X8";"1X08";"PIN HEADER";"";"";"";"";
"D8-13";"PWMH";"PINHD-1X8";"1X08";"PIN HEADER";"";"";"";"";
"GND";"GND";"PINHD-1X1";"1X01";"PIN HEADER";"";"";"";"";
"IC1";"DS 8291";"DIL8";"DIL08";"Dual In Line / Socket";"";"";"";"";
"IC2";"MCP4802";"DIL8";"DIL08";"Dual In Line / Socket";"";"";"";"";
"IC3";"MCP4802";"DIL8";"DIL08";"Dual In Line / Socket";"";"";"";"";
"IC4";"DS 8291";"DIL8";"DIL08";"Dual In Line / Socket";"";"";"";"";
"ICSP";"ICSP";"PINHD-2X3";"2X03";"PIN HEADER";"";"";"";"";
"JP1";"5V";"PINHD-1X1";"1X01";"PIN HEADER";"";"";"";"";
"JP2";"5V";"PINHD-1X1";"1X01";"PIN HEADER";"";"";"";"";
"JP3";"GND";"PINHD-1X1";"1X01";"PIN HEADER";"";"";"";"";
"JP5";"Left";"PINHD-1X4/90";"1X04/90";"PIN HEADER";"";"";"";"";
"JP6";"Right";"PINHD-1X4/90";"1X04/90";"PIN HEADER";"";"";"";"";
"JP7";"";"PINHD-1X7";"1X07";"PIN HEADER";"";"";"";"";
"JP8";"";"PINHD-2X7";"2X07";"PIN HEADER";"";"";"";"";
"JP9";"Joystick";"PINHD-1X8/90";"1X08/90";"PIN HEADER";"";"";"";"";
"JP10";"";"JP1E";"JP1";"JUMPER";"";"";"";"";
"JP11";"Brake Servo";"PINHD-1X3/90";"1X03/90";"PIN HEADER";"";"";"";"";
"JP12";"Steer Servo";"PINHD-1X3/90";"1X03/90";"PIN HEADER";"";"";"";"";
"JP13";"";"JP1E";"JP1";"JUMPER";"";"";"";"";
"POWER";"POWER";"PINHD-1X6";"1X06";"PIN HEADER";"";"";"";"";
"PWML";"Digital 0-7";"PINHD-1X8";"1X08";"PIN HEADER";"";"";"";"";
"R1";"1M";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";"";"";"";
"R2";"10M";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";"";"";"";
"R3";"4.7 K";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";"";"";"";
"R4";"4.7 K";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";"";"";"";
"R6";"4.7 K";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";"";"";"";
"R7";"100";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";"";"";"";
"R8";"4.7 K";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";"";"";"";
"R9";"4.7 K";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";"";"";"";
"R10";"4.7 K";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";"";"";"";
"R11";"100";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";"";"";"";
"U$1";"DPDT_DEV6X5MM_PAC";"DPDT_DEV6X5MM_PAC";"NEWSWITCH2_PAC";"";"";"";"";"";
"U$2";"CUI_JACKTHROUGH_HOLE";"CUI_JACKTHROUGH_HOLE";"CUIJACK";"";"";"";"";"";
"X1";"RJ45-8L-B";"RJ45-8L-B";"RJ45-NO-SHIELD";"CORCOM Modular RJ Jacks No Shield";"TYCO ELECTRONICS";"RJ45-8L-B";"1279843";"52K4445";
"X2";"Cruise";"F25H";"F25H";"SUB-D";"";"";"unknown";"unknown";
"X3";"Motor";"M15-182";"182-015-MALE";"SUB-D";"";"";"unknown";"unknown";
"X4";"CLICK";"ODO_JACK";"ODO_JACK";"";"";"";"";"";
"X5";"RJ45-8L-B";"RJ45-8L-B";"RJ45-NO-SHIELD";"CORCOM Modular RJ Jacks No Shield";"TYCO ELECTRONICS";"RJ45-8L-B";"1279843";"52K4445";
"XIOH";"Digital 22-37";"PINHD-2X8";"2X08";"PIN HEADER";"";"";"";"";
"XIOL";"Digital 38-53";"PINHD-2X8";"2X08";"PIN HEADER";"";"";"";"";
