6.0,4,True
224,132,108,255
252,232,112,85
216,76,68,73
244,80,84,51
252,180,52,255
228,12,8,255
184,104,32,255
236,160,32,255
164,76,72,128
244,96,48,255
248,224,16,255
244,56,28,255
208,28,24,213
244,208,104,255
244,68,68,128
252,236,48,170
240,92,16,255
236,164,116,255
244,224,36,255
252,124,44,255
204,76,68,85
200,52,60,128
212,124,12,255
196,108,104,64
240,212,196,2
252,252,204,0
248,112,76,85
176,40,16,255
232,100,8,255
220,140,80,153
204,168,32,255
252,96,104,64
216,12,4,255
228,60,64,196
248,24,20,255
232,48,32,255
252,148,0,255
228,108,68,64
244,12,12,255
172,88,72,255
204,40,52,30
224,44,0,255
244,220,128,51
248,148,64,255
248,56,20,255
212,168,160,1
252,112,28,255
236,88,32,255
244,140,56,255
240,228,0,255
252,92,24,255
236,4,4,255
172,52,52,28
220,112,112,128
188,148,144,1
236,48,40,255
220,152,12,255
252,196,92,255
252,240,32,191
248,64,4,255
240,184,168,1
240,152,108,128
184,32,28,3
212,52,24,170
252,220,4,234
248,36,4,255
252,160,168,128
244,68,0,255
236,200,196,4
252,168,24,255
232,212,116,170
232,208,44,128
232,140,144,128
224,68,36,255
232,136,48,255
228,160,76,255
200,124,112,85
204,56,56,43
188,40,12,255
228,152,152,2
240,44,28,255
244,204,204,26
212,156,156,6
236,76,8,255
220,52,20,255
252,108,64,255
252,80,32,255
184,136,144,1
220,64,24,255
224,128,72,255
252,60,68,200
228,100,8,255
188,48,24,255
252,44,0,255
216,52,44,58
252,84,12,255
248,92,0,255
252,236,76,128
252,208,52,64
224,156,148,1
232,40,48,32
252,188,112,85
192,20,4,255
216,180,32,128
252,136,76,255
244,60,16,255
240,116,8,255
248,176,16,255
164,56,48,51
208,64,64,73
196,132,124,5
236,224,224,3
220,8,4,255
224,72,60,80
240,236,236,1
196,104,12,255
252,76,12,255
212,72,68,128
220,4,0,255
252,24,48,1
248,104,24,255
176,24,24,32
252,224,92,255
248,64,44,255
248,112,88,38
252,176,120,153
244,88,48,255
228,48,68,10
248,20,16,255
176,76,76,109
232,200,204,3
212,64,80,43
248,212,216,9
252,152,4,255
228,96,64,128
240,100,80,34
228,88,12,255
168,68,56,64
236,104,40,255
240,72,84,255
232,176,136,21
224,124,96,43
252,112,112,85
180,24,28,26
224,64,68,85
244,128,60,255
192,32,36,51
252,64,28,255
236,8,0,255
240,200,64,255
240,212,32,128
248,120,48,255
212,40,8,255
232,108,36,255
252,244,44,85
252,216,192,1
240,84,72,105
252,192,0,255
252,124,24,255
176,56,52,128
232,104,12,255
192,56,52,64
228,120,112,128
236,184,112,64
252,240,64,182
248,116,40,255
204,32,16,255
248,200,192,7
208,44,48,28
228,164,80,255
204,12,20,255
232,180,80,255
240,40,0,255
240,140,52,255
236,80,12,255
244,148,108,128
252,80,68,88
252,84,44,255
236,60,0,255
196,120,120,28
252,60,32,255
252,156,104,128
248,204,80,255
232,144,68,255
240,144,148,255
220,184,100,51
252,208,72,204
252,212,56,64
236,160,152,15
252,160,116,64
220,104,92,128
252,164,156,73
244,100,40,255
224,52,52,51
236,44,32,182
248,180,180,11
240,112,4,255
172,44,28,85
248,172,20,255
244,204,16,85
244,252,160,3
228,132,28,255
244,116,44,255
208,116,0,255
208,112,96,128
252,100,36,255
244,188,168,1
180,36,12,255
240,220,204,1
232,72,28,255
240,56,56,113
248,104,68,153
248,100,28,255
216,84,4,255
248,60,40,170
236,92,92,64
136,24,12,128
252,176,28,255
248,16,12,255
188,84,88,64
176,72,80,43
204,92,0,255
248,236,208,4
252,156,24,255
248,228,16,255
248,224,144,20
240,96,92,85
204,48,44,64
252,136,72,255
244,216,152,26
204,28,8,255
248,140,88,255
240,56,20,255
252,120,20,255
232,24,32,51
240,228,184,11
244,132,0,255
216,132,20,255
244,184,96,255
244,188,192,3
252,152,96,128
216,12,0,255
232,104,48,255
252,240,216,1
248,120,44,255
232,104,40,255
224,112,60,255
252,248,40,51
248,252,8,85
204,112,124,32
252,252,216,0
228,56,32,255
216,184,180,2
248,24,32,51
232,52,0,255
244,124,8,255
252,144,32,255
252,148,128,36
252,244,152,43
228,64,56,85
228,68,8,255
208,40,44,36
232,152,152,16
204,16,16,255
204,88,32,255
212,188,192,1
228,144,144,32
228,148,16,255
244,128,36,255
224,92,24,255
228,56,36,255
236,84,0,255
196,64,48,64
252,84,72,106
240,132,128,64
252,88,40,255
236,56,60,191
236,136,128,170
180,72,64,43
236,44,72,11
216,100,56,128
216,44,52,146
236,212,60,128
232,12,12,255
252,212,68,170
224,60,28,255
228,44,24,255
240,72,56,15
252,160,40,255
252,164,120,59
168,68,60,128
224,116,20,255
248,220,204,2
252,184,52,255
252,140,12,255
224,48,56,255
240,124,0,255
200,96,80,51
224,172,8,64
208,72,88,64
248,128,44,255
252,148,48,255
192,36,40,64
212,156,28,255
208,124,100,85
244,176,84,255
252,104,32,255
212,116,112,85
232,104,84,255
244,168,92,170
252,52,4,255
212,64,76,255
232,68,24,255
216,152,36,255
236,192,188,3
236,200,12,128
224,208,204,1
208,56,40,85
216,36,12,255
248,56,36,255
224,68,72,128
244,80,56,43
252,180,16,255
248,12,8,255
232,196,44,255
204,72,68,64
228,120,88,64
240,168,100,7
228,64,0,255
244,56,48,191
204,52,32,204
240,140,56,255
248,180,80,255
212,40,48,64
188,64,52,128
236,76,72,64
252,232,28,64
180,64,76,36
212,160,12,128
244,112,132,128
236,100,20,255
220,44,32,43
240,232,20,128
204,32,36,43
156,64,60,153
240,40,44,128
244,164,76,255
220,124,100,51
244,164,92,255
252,252,52,8
244,20,32,32
248,80,76,51
252,200,8,255
176,68,60,255
244,136,100,43
172,16,28,11
244,124,84,102
244,112,12,255
252,148,44,255
248,76,20,255
220,32,24,255
228,68,36,255
208,80,60,43
248,124,60,255
228,184,136,17
248,152,12,255
248,148,100,64
240,48,8,255
252,196,100,204
168,64,56,109
252,144,48,255
220,32,8,255
228,196,16,255
252,92,52,255
252,36,40,143
220,144,144,24
236,208,200,2
248,236,8,128
252,240,4,235
248,80,20,255
188,84,68,85
220,160,124,16
216,64,12,128
216,124,116,255
236,132,124,51
240,116,72,85
216,152,80,9
176,44,56,28
252,164,36,255
228,28,24,255
252,172,164,64
252,140,104,3
216,168,52,255
224,60,60,43
244,40,12,255
240,120,60,255
188,76,64,85
232,188,16,255
244,152,148,255
160,68,64,64
184,100,68,8
224,188,48,170
216,124,80,85
244,172,80,255
252,56,0,255
236,32,20,255
240,172,116,43
236,204,16,255
232,116,24,255
248,52,32,255
252,212,184,3
244,84,36,255
252,184,20,255
248,8,4,255
236,164,72,255
248,228,216,12
252,132,16,255
228,204,44,255
252,136,112,26
188,120,124,26
240,104,68,191
204,56,36,255
228,140,76,255
240,88,72,43
248,132,80,255
252,124,100,7
216,64,64,170
228,196,152,13
228,96,32,255
244,120,88,13
228,160,120,32
220,84,76,85
180,32,20,43
236,20,20,255
252,140,140,85
220,96,96,170
236,60,56,149
220,132,68,128
236,132,108,128
252,224,48,153
248,64,8,255
248,84,16,255
216,136,140,51
252,204,116,40
204,152,36,255
248,244,240,2
172,40,12,255
228,108,12,255
228,216,216,1
252,156,152,93
244,60,56,64
204,128,112,32
240,100,52,255
232,156,128,64
252,148,60,255
236,40,20,255
208,48,36,73
224,112,44,255
224,164,4,170
244,244,28,128
252,112,84,9
200,32,36,128
216,64,72,85
184,84,80,170
184,88,56,6
252,92,80,92
236,48,24,255
208,180,176,2
208,56,36,213
248,124,116,255
232,80,24,255
252,240,56,191
252,244,8,217
228,196,196,13
248,76,16,255
232,4,4,255
204,132,132,17
228,36,0,170
188,48,48,85
236,212,16,255
252,168,32,255
232,212,188,2
248,212,196,1
236,76,68,78
172,72,64,85
248,204,4,255
220,64,48,64
188,104,8,255
244,36,12,255
244,44,0,255
240,68,56,60
196,96,96,85
232,188,180,2
232,180,116,43
248,212,48,255
244,252,132,12
236,76,64,14
240,212,208,6
160,64,76,64
228,140,148,128
220,56,52,128
252,80,24,255
208,172,40,85
240,196,12,255
204,28,20,255
180,80,0,255
212,56,52,78
216,52,20,255
236,208,20,255
216,72,16,255
252,52,16,255
252,212,196,0
204,128,116,36
252,188,8,255
248,164,12,255
248,4,0,255
196,60,84,64
176,92,92,128
228,200,4,128
224,52,8,255
188,124,96,15
248,180,152,16
192,100,76,51
252,196,96,170
244,200,84,128
232,160,148,11
228,188,28,128
220,108,16,255
252,160,44,255
236,64,40,85
252,212,52,146
252,96,96,77
220,160,152,7
252,100,0,255
248,8,0,255
236,108,12,255
244,176,12,255
220,192,148,13
236,24,16,255
240,164,80,255
248,104,32,255
236,76,76,128
232,124,52,255
252,228,60,128
176,24,8,191
252,136,80,255
244,92,24,255
228,52,20,255
152,24,16,64
244,104,20,255
252,156,52,255
244,148,88,255
164,52,64,102
224,188,32,128
228,92,44,255
188,96,108,32
188,48,20,255
244,220,20,255
228,136,72,255
188,44,16,204
252,8,8,255
244,236,232,2
236,92,84,102
244,104,4,255
236,96,60,255
224,172,160,1
228,92,56,128
196,96,88,255
252,68,60,174
240,168,80,255
220,128,124,51
252,44,16,255
248,116,24,255
232,108,28,255
224,196,168,3
252,248,12,185
252,252,180,1
224,180,180,4
224,128,84,64
248,140,148,85
220,172,172,6
252,168,132,14
252,172,28,255
216,164,84,255
248,204,184,1
200,156,32,255
236,112,76,64
228,184,8,128
248,156,36,255
248,152,140,255
228,152,36,255
228,76,52,64
228,148,108,255
224,92,60,191
244,148,36,255
220,60,40,170
252,84,20,255
236,124,32,255
248,56,52,219
244,100,0,255
252,32,24,255
212,60,56,43
244,84,72,74
240,176,132,51
248,84,44,255
192,104,80,64
232,120,72,255
236,176,84,255
236,128,84,128
244,76,44,255
252,56,68,128
252,164,164,77
252,148,56,255
244,24,0,245
204,84,80,102
208,24,16,255
244,52,36,255
224,56,44,36
252,236,24,170
236,20,16,255
244,204,88,128
168,48,36,85
248,128,8,255
228,36,20,255
128,32,20,64
240,8,4,255
208,56,32,255
252,104,4,255
220,88,44,255
244,168,112,128
244,216,196,2
248,116,20,255
232,72,68,153
240,164,52,255
240,160,92,255
176,48,32,170
252,224,200,1
196,52,0,255
252,200,68,128
252,232,56,102
248,56,0,255
232,16,12,255
236,204,172,10
248,32,24,255
252,180,124,64
252,184,4,255
248,236,232,13
212,20,12,255
192,40,32,13
200,152,156,3
252,128,48,255
208,20,24,85
172,92,80,43
228,80,40,255
204,32,28,170
232,168,168,9
252,144,72,255
224,120,52,255
200,64,56,51
220,104,96,85
224,76,8,255
236,100,48,128
184,76,72,128
252,184,188,4
252,68,88,43
180,44,60,11
248,100,92,51
252,16,20,251
240,216,212,7
252,132,32,255
216,128,0,255
196,56,40,85
240,128,104,255
228,124,72,255
220,168,152,0
232,28,28,128
252,196,84,227
244,64,44,159
252,200,44,128
188,56,56,64
212,136,132,48
232,164,100,3
252,144,24,255
228,104,100,255
152,52,40,64
228,68,64,113
224,176,176,2
240,76,48,191
192,40,20,170
248,56,24,255
236,84,72,77
240,72,0,255
220,60,68,64
240,220,224,1
244,140,64,255
252,88,16,255
200,24,24,255
224,168,164,13
252,172,104,255
252,36,20,255
236,44,0,255
252,244,136,102
240,152,36,255
252,216,100,128
248,40,52,43
244,148,84,255
252,96,40,255
232,60,64,191
252,164,0,255
232,216,100,255
208,48,32,191
248,248,168,4
212,172,168,2
244,28,12,255
204,88,84,128
224,60,0,255
188,100,104,64
244,40,32,232
200,64,72,85
248,164,64,255
244,104,24,255
232,188,52,85
240,120,88,43
248,128,100,18
168,72,64,128
252,192,4,255
236,72,32,255
176,100,88,28
216,184,184,2
